============================================================
RÉSULTATS DU WORDCOUNT
============================================================

Fichiers traités : 4
Mots totaux      : 3,641,944
Mots uniques     : 33,544

============================================================
TOUS LES MOTS (triés par fréquence)
============================================================

1	101557
2025	80001
traitement	58148
hdfs	58109
real	58093
time	58093
apache	58078
computation	58069
streaming	58016
système	57988
projet	57958
framework	57924
hadoop	57917
kafka	57914
big	57866
architecture	57860
cluster	57850
processing	57832
scalable	57797
zookeeper	57794
spark	57786
analytics	57762
étudiant	57756
test	57747
hive	57746
cours	57745
batch	57739
distribué	57720
yarn	57697
data	57692
storage	57666
pig	57632
bonjour	57630
université	57556
massives	57479
données	57453
distributed	57440
fichier	57418
analyse	57404
exemple	57357
mapreduce	57236
parallel	57218
192	51046
0	50049
168	50007
0100	50000
get	50000
http	50000
200	28826
dec	27198
12	26058
nov	22802
11	22715
14	21293
5	13514
91	12603
chrome	12556
safari	12525
90	12468
edge	12463
mozilla	12456
panier	11322
recherche	11049
23	9921
10	9413
17	9306
19	9252
20	9231
15	9220
16	9099
18	9072
13	9059
07	8857
05	8834
09	8824
22	8815
02	8815
01	8731
21	8683
08	8647
04	8636
06	8496
03	8394
24	7005
categories	6215
accueil	6129
produits	6105
aide	6098
promotions	6084
compte	6045
contact	6030
00	5904
26	5888
25	5837
27	5780
304	5622
500	5569
404	5545
29	5457
403	5449
28	5417
30	5316
ajout	5066
navigation	5065
achat	5021
deconnexion	5000
connexion	4902
31	4155
45	3749
51	3735
58	3724
34	3691
46	3682
40	3664
47	3291
41	3274
54	3243
48	3236
37	3234
55	3214
35	3189
56	3182
52	3178
57	3176
42	3082
50	3076
32	2806
39	2781
44	2762
49	2718
36	2689
33	2689
43	2680
53	2668
38	2653
59	2638
4	1617
3	1591
150	1540
smartphone	1537
écouteurs	1534
souris	1523
159	1505
tablette	1500
210	1495
179	1492
clavier	1492
laptop	1491
moniteur	1490
imprimante	1490
webcam	1489
disque	1487
dur	1487
130	1476
191	1085
238	1064
92	1050
2	1049
153	1045
7	1043
94	1033
147	1029
184	1015
115	1014
180	1009
250	1007
129	1006
236	1004
239	1002
83	1001
138	999
134	995
189	994
175	980
176	971
172	963
253	955
173	930
244	913
68	595
81	579
69	573
95	567
98	567
96	566
85	564
111	561
198	558
99	557
63	556
73	553
79	549
62	547
74	544
6	541
76	539
8	539
209	537
224	537
104	533
88	531
174	530
182	529
156	529
203	529
249	529
163	528
213	526
234	526
229	525
196	524
152	524
97	524
204	523
117	523
142	520
199	519
188	519
177	516
151	514
241	514
77	513
121	513
185	512
145	511
247	511
218	509
135	507
217	506
110	506
230	505
206	505
211	502
222	501
162	499
186	498
131	497
126	497
125	497
220	496
155	496
246	495
197	495
232	494
178	494
164	493
227	492
240	492
107	491
143	490
219	490
195	488
202	488
133	488
171	488
100	482
108	482
101	481
207	478
181	477
141	475
60	469
237	438
149	435
67	72
64	64
71	63
93	61
84	60
82	59
65	58
75	57
86	55
9	54
87	53
72	53
89	51
user0747	48
61	48
user0215	47
66	47
user0168	46
user0441	46
user0242	46
user0233	45
user0320	44
user0302	43
user0670	43
user0086	43
user0083	43
user0315	43
user0455	42
user0743	42
user0427	42
user0911	41
user0138	41
user0488	41
user0387	41
user0030	41
user0932	40
user0191	40
user0518	40
user0134	40
user0296	40
user0239	40
user0953	40
user0662	40
user0409	40
user0436	40
user0959	40
user0032	40
user0981	40
user0085	40
user0232	39
user0262	39
user0728	39
user0008	39
user0837	39
user0128	39
user0549	39
user0640	39
user0123	39
user0671	39
user0834	39
user0835	39
user0213	39
user0921	39
user0806	39
user0517	39
user0309	39
user0786	39
user0220	39
user0214	39
user0075	39
user0412	38
user0844	38
user0133	38
user0746	38
user0539	38
user0810	38
user0291	38
user0042	38
user0022	38
user0121	38
user0773	38
user0936	38
user0023	38
user0628	38
user0270	38
user0424	38
user0624	38
user0146	38
user0940	38
user0563	38
user0308	38
user0848	38
user0404	38
user0375	38
user0811	38
user0116	38
user0435	38
user0408	38
user0930	38
user0383	38
user0089	38
user0917	37
user0668	37
user0054	37
user0524	37
user0942	37
user0198	37
user0081	37
user0968	37
user0084	37
user0714	37
user0395	37
user0505	37
user0156	37
user0992	37
user0101	37
user0542	37
user0426	37
user0901	37
user0983	37
user0221	37
user0274	37
user0568	37
user0731	37
user0680	37
user0350	37
user0667	37
user0729	37
user0040	37
user0880	37
user0465	37
78	36
user0677	36
user0839	36
user0319	36
user0342	36
user0253	36
user0979	36
user0431	36
user0706	36
user0797	36
user0004	36
user0681	36
user0570	36
user0866	36
user0558	36
user0567	36
user0500	36
user0897	36
user0768	36
user0697	36
user0470	36
user0735	36
user0014	36
user0398	36
user0188	36
user0695	36
user0853	36
user0446	36
user0956	36
user0206	36
user0307	36
user0333	36
user0466	36
user0833	36
user0037	36
user0543	36
user0846	36
user0996	36
user0248	36
user0064	36
user0957	36
user0261	36
user0600	36
user0657	36
user0530	36
user0310	35
user0887	35
user0407	35
user0890	35
user0808	35
user0851	35
user0265	35
user0783	35
user0708	35
user0453	35
user0826	35
user0892	35
user0416	35
user0020	35
user0766	35
user0082	35
user0462	35
user0586	35
user0226	35
user0493	35
user0027	35
user0895	35
user0721	35
user0318	35
user0699	35
user0489	35
user0095	35
user0615	35
user0598	35
user0857	35
user0199	35
user0510	35
user0484	35
user0537	35
user0236	35
user0201	35
user0523	35
user0583	35
user0234	35
user0088	35
user0626	35
user0490	35
user0018	35
user0841	35
user0861	35
user0553	35
user0281	35
user0106	34
user0740	34
user0606	34
user0388	34
user0478	34
user0124	34
user0801	34
user0257	34
user0479	34
user0592	34
user0653	34
user0336	34
user0993	34
user0964	34
user0184	34
user0403	34
user0492	34
user0638	34
user0973	34
user0167	34
user0754	34
user0153	34
user0763	34
